state,n,pct
IL,3366,0.9833479404031551
IN,10,0.00292141396435875
MO,8,0.0023371311714869996
WI,7,0.002044989775051125
WA,5,0.001460706982179375
FL,3,8.764241893076249e-4
IA,3,8.764241893076249e-4
KY,3,8.764241893076249e-4
TN,3,8.764241893076249e-4
TX,3,8.764241893076249e-4
CA,2,5.842827928717499e-4
GA,2,5.842827928717499e-4
MN,2,5.842827928717499e-4
AL,1,2.9214139643587495e-4
CT,1,2.9214139643587495e-4
KS,1,2.9214139643587495e-4
MD,1,2.9214139643587495e-4
MT,1,2.9214139643587495e-4
NJ,1,2.9214139643587495e-4
