folk_school,total_bin,n,pct_within_school
Art,Free/Refund/0,6,0.005410279531109108
Art,$1–$25,44,0.03967538322813345
Art,$26–$50,114,0.10279531109107304
Art,$51–$75,434,0.3913435527502254
Art,$76–$100,168,0.151487826871055
Art,$101–$150,60,0.05410279531109107
Art,$151–$200,47,0.04238052299368801
Art,$201–$300,233,0.21009918845807032
Art,$301–$500,3,0.002705139765554554
Culinary,$1–$25,3,0.1
Culinary,$26–$50,27,0.9
Fiber Arts,$26–$50,1,0.008849557522123894
Fiber Arts,$51–$75,49,0.4336283185840708
Fiber Arts,$76–$100,27,0.23893805309734514
Fiber Arts,$201–$300,36,0.3185840707964602
Outdoor Education,Free/Refund/0,4,0.021739130434782608
Outdoor Education,$1–$25,91,0.4945652173913043
Outdoor Education,$26–$50,25,0.1358695652173913
Outdoor Education,$51–$75,64,0.34782608695652173
Storytelling,$26–$50,10,0.47619047619047616
Storytelling,$51–$75,11,0.5238095238095238
Wellness,$26–$50,213,0.9260869565217391
Wellness,$51–$75,10,0.043478260869565216
Wellness,$76–$100,7,0.030434782608695653
NA,Free/Refund/0,814,0.15149823190024195
NA,$1–$25,1142,0.21254420249395123
NA,$26–$50,583,0.10850549041503815
NA,$51–$75,947,0.17625162851293505
NA,$76–$100,563,0.10478317513493393
NA,$101–$150,187,0.034803647868974504
NA,$151–$200,359,0.06681555927787083
NA,$201–$300,659,0.12265028847943421
NA,$301–$500,119,0.02214777591662014
