city_state,students
"Champaign, IL",1043
"Monticello, IL",529
"Urbana, IL",408
"Decatur, IL",234
"Mahomet, IL",210
"Savoy, IL",118
"Bloomington, IL",91
"White Heath, IL",73
"Normal, IL",53
"Springfield, IL",52
"Argenta, IL",42
"Tuscola, IL",42
"Clinton, IL",40
"Tolono, IL",38
"Mattoon, IL",37
"Saint Joseph, IL",36
"Bement, IL",33
"Cerro Gordo, IL",28
"Chicago, IL",27
"Danville, IL",26
"Seymour, IL",26
"Forsyth, IL",25
"Ivesdale, IL",25
"Oreana, IL",22
"Pesotum, IL",20
"Lincoln, IL",19
"Mt Zion, IL",19
"Rantoul, IL",19
"Atwood, IL",18
"Cisco, IL",18
"Mansfield, IL",18
"Sullivan, IL",18
"Farmer City, IL",17
"Fisher, IL",17
"Villa Grove, IL",17
"Charleston, IL",16
"Effingham, IL",16
"Arthur, IL",14
"Paxton, IL",14
"Bethany, IL",13
"Dewey, IL",13
"Peoria, IL",12
"Philo, IL",12
"Shelbyville, IL",12
"Hudson, IL",11
"Le Roy, IL",11
"Sidney, IL",11
"Wapella, IL",11
"Danvers, IL",10
"Maroa, IL",10
"Milmine, IL",10
"Oakley, IL",10
"Ogden, IL",10
"Weldon, IL",10
"Homer, IL",9
"Leroy, IL",9
"Pekin, IL",9
"Sadorus, IL",9
"Downs, IL",8
"Heyworth, IL",8
"Taylorville, IL",8
"Westville, IL",8
"Chatham, IL",7
"Newman, IL",7
"Plainfield, IL",7
"Rochester, IL",7
"St Joseph, IL",7
"Auburn, IL",6
"Bellflower, IL",6
"Gibson City, IL",6
"Paris, IL",6
"Warrensburg, IL",6
"Washington, IL",6
"Xx, IL",6
"Da, IL",5
"Lisle, IL",5
"Loda, IL",5
"Mount Zion, IL",5
"Pawnee, IL",5
"Saint Louis, MO",5
"Thomasboro, IL",5
"Towanda, IL",5
"Arcola, IL",4
"Assumption, IL",4
"Camargo, IL",4
"De Land, IL",4
"Deland, IL",4
"Foosland, IL",4
"Lake City, IL",4
"Mount Auburn, IL",4
"Moweaqua, IL",4
"Naperville, IL",4
"Odell, IL",4
"St. Joseph, IL",4
"Ashmore, IL",3
"Bondville, IL",3
"Chatsworth, IL",3
"Chrisman, IL",3
"Fairmount, IL",3
"Gurnee, IL",3
"Hammond, IL",3
"Illiopolis, IL",3
"Lexington, IL",3
"Lovington, IL",3
"Macon, IL",3
"Mapleton, IL",3
"Melvin, IL",3
"Midlothian, IL",3
"Milford, IL",3
"Morton Grove, IL",3
"Muncie, IL",3
"Oakwood, IL",3
"Peoria Heights, IL",3
"Pontiac, IL",3
"Sigel, IL",3
"1117 Foothill Dr, IL",2
"4908 Lindsey Rd, IL",2
"Aroma Park, IL",2
"Beason, IL",2
"Bradley, IL",2
"Broadlands, IL",2
"Champagin, IL",2
"Champaign Il, IL",2
"Clifton, IL",2
"Collinsville, IL",2
"Dallas, TX",2
"Dalton City, IL",2
"Dardenne Prairie, MO",2
"Evanston, IL",2
"Fairbury, IL",2
"Flanagan, IL",2
"Franklin, TN",2
"Glenview, IL",2
"God, IL",2
"Goodfield, IL",2
"Hovland, MN",2
"Indianapolis, IN",2
"Jacksonville, IL",2
"Lafayette, IN",2
"Lake Mills, WI",2
"Litchfield, IL",2
"Marshall, IL",2
"Minticello, IL",2
"Monticello, Il, IL",2
"My. Zion, IL",2
"Nicholasville, KY",2
"Oak Park, IL",2
"Olympia, WA",2
"Orland Park, IL",2
"Orlando, FL",2
"Penfield, IL",2
"Pleasant Plains, IL",2
"Potomac, IL",2
"Princeton, IL",2
"Rankin, IL",2
"Roanoke, IL",2
"Robinson, IL",2
"Shirley, IL",2
"Shumway, IL",2
"St.joseph, IL",2
"Tacoma, WA",2
"Tremont, IL",2
"Troy, IL",2
"Vandalia, IL",2
"Virden, Illinois Mid, IL",2
"West Lafayette, IN",2
"West Peoria, IL",2
"Westfield, IL",2
"White Heatg, IL",2
"Woodridge, IL",2
"14 Evergreen Square, IL",1
"1920 S Harding Drive, IL",1
"61820-5817, IL",1
"70 W Woodlasaint Joseph, IL",1
"Anacortes, WA",1
"Apt 1, IL",1
"Arensville, IL",1
"Aurora, IL",1
"Batavia, IL",1
"Beardstown, IL",1
"Bettendorf, IA",1
"Bevier, MO",1
"Blomington, IL",1
"Blue Mound, IL",1
"Bolingbrook, IL",1
"Bourbonnais, IL",1
"Buckley, IL",1
"Catlin, IL",1
"Champaign, Il, IL",1
"Champaign,, IL",1
"Champiagn, IL",1
"Chanpaign, IL",1
"Coal City, IL",1
"College Park, MD",1
"County Farm Road, IL",1
"Dekalb, IL",1
"Downers Grove, IL",1
"East Peoria, IL",1
"Elgin, IL",1
"Elwood, IL",1
"Fairy Tale Land, IL",1
"Freeburg, IL",1
"Gary, IN",1
"Gays, IL",1
"Geneseo, IL",1
"Georgetown, IL",1
"Gifford, IL",1
"Great Falls, MT",1
"Green Valley, IL",1
"Griffith, IN",1
"Hartsburg, IL",1
"Havana, IL",1
"Highwood, IL",1
"Hoopeston, IL",1
"Kankakee, IL",1
"Lane, IL",1
"Lawrence, KS",1
"Lemont, IL",1
"Lerna, IL",1
"Livington, IL",1
"Lockport, IL",1
"Ludlow, IL",1
"Mahomet Illinois, IL",1
"Mahomet, IA",1
"Manhattan, IL",1
"Mattoo, IL",1
"Maynard Drive, IL",1
"Metamora, IL",1
"Milwaukee, WI",1
"Minier, IL",1
"Miramar, FL",1
"Modesto, IL",1
"Mokena, IL",1
"Monona, WI",1
"Montclair, NJ",1
"Monticello, AL",1
"Morganfield, KY",1
"Morton, IL",1
"Mt Pulaski, IL",1
"Mt. Zion, IL",1
"Niantic, IL",1
"Palatine, IL",1
"Pleasant Prairie, WI",1
"Portage, IN",1
"Prophetstown, IL",1
"Rock Falls, IL",1
"Rockton, IL",1
"Roscoe, IL",1
"Running Springs, CA",1
"Savanah, GA",1
"Savannah, GA",1
"Sheffield, IL",1
"Skokie, IL",1
"Smyrna, TN",1
"Somers, IA",1
"St. Jos, IL",1
"Tallula, IL",1
"Troup, TX",1
"Trumbull, CT",1
"Unit   103, IL",1
"Unit #1102, IL",1
"Virginia, IL",1
"Wataga, IL",1
"West Union, IL",1
"Windsor, IL",1
