city_state,students,distance_miles,distance_note
"Monticello, IL",529,0.3,matched
"Monticello, Il, IL",2,0.3,matched
"White Heath, IL",73,5.2,matched
"Bement, IL",33,7.3,matched
"De Land, IL",4,7.6,matched
"Cisco, IL",18,8.2,matched
"Ivesdale, IL",25,8.5,matched
"Milmine, IL",10,9.2,matched
"Seymour, IL",26,9.5,matched
"Weldon, IL",10,11.2,matched
"Bondville, IL",3,12.3,matched
"Cerro Gordo, IL",28,12.5,matched
"Sadorus, IL",9,12.7,matched
"Mansfield, IL",18,13.2,matched
"Argenta, IL",42,13.6,matched
"Mahomet, IL",210,14.6,matched
"Mahomet, IA",1,14.6,matched
"Mahomet Illinois, IL",1,15,matched
"Farmer City, IL",17,15.4,matched
"Hammond, IL",3,16,matched
"Oakley, IL",10,16.2,matched
"Lane, IL",1,16.3,matched
"Champaign Il, IL",2,16.6,matched
"Oreana, IL",22,16.7,matched
"Atwood, IL",18,16.8,matched
"Tolono, IL",38,16.9,matched
"Savoy, IL",118,17.1,matched
"1117 Foothill Dr, IL",2,17.1,matched
"14 Evergreen Square, IL",1,17.3,matched
"Pesotum, IL",20,17.7,matched
"Champaign, IL",1043,18.5,matched
"61820-5817, IL",1,18.5,matched
"Champaign, Il, IL",1,18.5,matched
"Champaign,, IL",1,18.5,matched
"Urbana, IL",408,20.2,matched
"Maroa, IL",10,20.3,matched
"Lake City, IL",4,20.4,matched
"Forsyth, IL",25,21.1,matched
"Tuscola, IL",42,21.8,matched
"Bellflower, IL",6,21.8,matched
"Lovington, IL",3,21.8,matched
"Philo, IL",12,22,matched
"Arthur, IL",14,22.3,matched
"Fisher, IL",17,23.1,matched
"Decatur, IL",234,23.7,matched
"Mount Zion, IL",5,23.8,matched
"Macon, IL",3,24.1,matched
"Foosland, IL",4,24.3,matched
"Wapella, IL",11,24.5,matched
"Le Roy, IL",11,24.6,matched
"Villa Grove, IL",17,25,matched
"Dalton City, IL",2,25,matched
"Dewey, IL",13,25.4,matched
"Thomasboro, IL",5,25.4,matched
"Sidney, IL",11,26.5,matched
"Warrensburg, IL",6,26.7,matched
"Camargo, IL",4,26.8,matched
"Arcola, IL",4,27.6,matched
"Bethany, IL",13,27.8,matched
"St Joseph, IL",7,28.7,matched
"St. Joseph, IL",4,28.7,matched
"St.joseph, IL",2,28.7,matched
"Heyworth, IL",8,29,matched
"Rantoul, IL",19,29.4,matched
"Sullivan, IL",18,29.7,matched
"Downs, IL",8,30,matched
"Broadlands, IL",2,31.8,matched
"Gibson City, IL",6,32,matched
"Homer, IL",9,32.6,matched
"Beason, IL",2,32.8,matched
"Ogden, IL",10,33.2,matched
"Niantic, IL",1,33.6,matched
"Ludlow, IL",1,34.2,matched
"Newman, IL",7,35,matched
"Gifford, IL",1,35,matched
"Moweaqua, IL",4,36.6,matched
