respondent_id,source_file,survey_version,course_name,attendance_date,satisfaction_rating,satisfaction_label,satisfaction_comment,learning_rating,recommend_rating,instructor_rating,additional_learning,course_suggestions,general_suggestions,testimonial,marketing_channels,marketing_channel_count,race_ethnicity,hispanic_latino,gender_identity,age_group,city_residence
219227_0001,219227,A,Basket Weaving,2023-09-30,5,Very satisfied,NA,3,1,5,NA,NA,get air conditioning in the barn. It was very hot even with fans.,NA,Other,1,White,No,Woman,65+,Cisco
219227_0002,219227,A,Basket Weaving,2023-09-30,2,Somewhat dissatisfied,NA,2,1,1,NA,"This project was overly ambitious for the time allotted for the class. Instead of this being a fun interactive class, it felt like we were on a 10 hr shift at a basket making sweat shop. The instructor seemed to assume people already knew how to weave baskets which is weird since this was a class to learn how to weave baskets. She was also rather insensitive to my mother who was having trouble hearing and getting around the room. I'd be happy to discuss this further with you if you are interested in hearing more.","Yes! I really want the folk school to be a success! This was an excellent idea and I really hope it continues to grow. That being said, I was surprised to see the state of the facility where this class was located. It has great potential but the bathrooms were dirty and smelled of sewage, the bathroom trash cans were full, and the floors upstairs did not appear to have been swept for quite some time. The elevator was a bit scary, mostly because no one seemed to know how to use it.",NA,Allerton's Facebook page,1,White,No,Woman,35-64,Chicago
219227_0003,219227,A,Autumn Linoleum Block Printing,2023-10-11,5,Very satisfied,NA,3,3,5,"I'd love to learn some more technique with the other carving tips, and the technique Felix mentioned about carving further away from the block to make multi layer prints.","I would make the class an hour longer, but build in a 15 minute break, where I'd have the instructor lead the class in stretching out their hands a bit. I know mine were sore from all the tracing, before we even got to carving.","Maybe have the cafe open when classes will be, so people can get dinner there for class.",NA,From a friend,1,White,No,Woman,35-64,Champaign
219227_0004,219227,A,Autumn Linoleum Block Printing,2023-10-11,5,Very satisfied,NA,3,3,5,"Mainly I would like to gain more experience with the techniques I learned in class and experiment with them a bit, but in the future I would be interested in more complex techniques (like printing in multiple colors)","It was really good, Felix knows what they're doing and is a great teacher (and artist)","Allerton is such a beautiful place -- maybe classes can be held in rooms that are not so ugly, and that are more suited to the subject (i.e., it would have been nice(r) to have a sink in the room) -- maybe other classes are already held in more aesthetically-pleasing locations?",NA,From a friend,1,White,No,Man,35-64,Champaign
219227_0005,219227,A,Autumn Linoleum Block Printing,2023-10-11,5,Very satisfied,NA,3,3,5,"Registration when doing multiple colorsMore info on which blades to use for which cutsMixing inks & effects you can get from thisFeasibility of alternate methods of transferring designs to the block. (I've read about some that seem easier than tracing, but not sure if they would damage the linoleum.)","Just having enough cutting supplies; other than that, no suggestions! Great class!",NA,NA,Other,1,White,No,Woman,35-64,Champaign
219227_0006,219227,A,Autumn Linoleum Block Printing,2023-10-11,5,Very satisfied,NA,3,2,5,NA,Maybe spend more time on the knives and what uses each one has,NA,NA,Allerton's website,1,White,No,Woman,65+,Piatt
219227_0007,219227,A,Creature Design,2023-10-07,5,Very satisfied,NA,2,3,5,NA,NA,NA,NA,From a friend,1,White,No,Woman,Under 18,Savoy
219227_0008,219227,A,Creature Design,2023-10-07,5,Very satisfied,NA,3,2,5,NA,NA,NA,NA,From a friend,1,NA,NA,Other,NA,NA
219227_0009,219227,A,Creature Design,2023-10-07,5,Very satisfied,NA,3,3,5,How to draw a horse and the basic outline of animals,No it was perfect,No,NA,Other,1,White,No,Man,Under 18,Tolono
219227_0010,219227,A,Autumn Linoleum Block Printing,2023-10-11,5,Very satisfied,NA,3,3,5,"I would enjoy learning additional printmaking techniques, and another class that expands on the the techniques we learned in Block Printing. We talked about carving and printing the block in steps for a class, and making one intricate print!",Adding more time,No,NA,Allerton's website,1,NA,NA,NA,NA,NA
