Class Name,Instructor,Price,Start Date,End Date,Start Time,End Time,Class Type,Description,Categories,Location,Room,Max Seats,Min Seats,Length in Weeks,Days of Week,Image URL,Featured,Kids Class,Register Online,Continuous Enrollment,Canceled,Receipt Custom Text,Reminder Custom Text,Visibility,Registrants,Waiting List
(5 classes) Historical Dancing: Titanic to the Talkies (Full Series),Jeanette Watts,$95.00 ,09/30/2025,,6:00 pm,8:00 pm,Regular Class,"<p><strong>**THIS LINK IS FOR THE 5 REMAINING CLASSES**</strong></p>
<p>&nbsp;</p>
<p><strong>Experience Level: Beginner</strong></p>
<p>Learn about the high-energy dances that dominated the early 20th&nbsp;century at&nbsp;<strong>Historical Dancing: Titanic to the Talkies on Tuesdays, Sept. 23 through Oct. 28 from 6 to 8 p.m. in the&nbsp;Mansion Library.</strong></p>
<p>In this era, the music was so infectious it required new kinds of dancing to go with it. Ragtime took over ballrooms with dances that shocked as well as delighted, while syncopated rhythms turned into the jazz of the Roaring Twenties. Meanwhile, Rudolph Valentino&rsquo;s movie tango kept ballroom dancers like Vernon and Irene Castle popular.</p>
<p>Instructor Jeanette Watts will help students explore the one step, castle walk, tango, foxtrot, Charleston, black bottom and other delights of early jazz.</p>
<p><strong>$110/person for the entire series or $25/class.</strong>&nbsp;Registration will close <strong>Sept. 21</strong> <strong>or two days prior</strong> to each class, or when capacity is reached.&nbsp;<em>All sales are final.</em></p>
<p>&mdash; Sept. 23<br />&mdash; Sept. 30<br />&mdash; Oct. 7<br />&mdash; Oct. 14<br />&mdash; Oct. 21<br />&mdash; Oct. 28</p>
<p>Learn more about the space where your course will take place&nbsp;here. If you will need disability-related accommodations to participate, please email Olivia Bunting at&nbsp;owarren@illinois.edu.</p>
<p>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</p>
<p><strong>About the instructor</strong></p>
<p>Jeanette Watts has been teaching historical dances for more than 20 years. She is the founder of the Terpsichorean Delights Dance Assembly in Dayton, Ohio, Queen City Vintage Dance in Charlotte, North Carolina, and spent covid writing an 8-volume series of instructional dance manuals for historical museums.</p>","The Farms: An Allerton Folk School > Wellness
The Farms: An Allerton Folk School > Dance
The Farms: An Allerton Folk School > Art",Allerton Music Barn,,30,,5,Tue,https://s3.amazonaws.com/coursestorm/live/media/5edec10f68b611f0a70c124bd5b32d05,No,No,Yes,No,No,,,Unlisted,0,0
(SOLD OUT) Barn Quilt Painting (Nov 15),Jane Cade,$90.00 ,11/15/2025,,8:00 am,1:00 pm,Barn Quilts,"<p><strong>Experience Level: Beginner</strong></p>
<p>Join the barn quilt movement by creating your own painted quilt block to use on the inside or outside of your home at&nbsp;<strong>Barn Quilt Painting on Saturday, Nov. 15 or Dec. 6 from 8 a.m. to 1 p.m. in The Studio.</strong></p>
<p>Students will begin with one of two options on a pre-primed board with a design already drafted. Students will tape and paint at their own pace, choosing from a wide variety of colors.</p>
<p>Instructor Jane Cade will share a history of barn quilts, techniques, tips, and discuss how to properly seal your finished piece after the paint has dried for 48 hours. Leave with a 20&times;20&Prime; wooden &lsquo;quilt block&rsquo; to keep for yourself or share your talents and give someone a handmade gift.</p>
<p><strong>$90/person.</strong> Registration closes one week before each course begins or when capacity is reached. All sales are final.</p>
<p>&mdash; Nov. 15 <br />&mdash; Dec. 6</p>
<p>If you will need disability-related accommodations to participate, please email&nbsp;owarren@illinois.edu.</p>
<p>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</p>
<p><strong>About the instructor</strong></p>
<p>Jane Cade is a retired teacher from Clinton Junior High School. She has been painting barn quilts for eight years and sells her work online and at craft festivals. She teaches classes at Parkland Community College and will be teaching classes at her workshop beginning next year.</p>",The Farms: An Allerton Folk School > Art,The Studio,,12,,,,https://s3.amazonaws.com/coursestorm/live/media/436396365c3f11f0a371124bd5b32d05,No,No,Yes,No,No,,,Public,13,0
(SOLD OUT) Basics of Plant-Based Eating,Karla Freeze,$25.00 ,11/05/2025,,5:00 pm,7:00 pm,Regular Class,"<p><strong>Experience Level: Beginner</strong></p>
<p>Learn about how to improve your health by letting go of highly processed foods at <strong>Basics of Plant-Based eating on Wednesday, Nov. 5 from 5 to 7 p.m. in The Studio.</strong></p>
<p>Instructor Karla Freeze will share the story of how she regained her health by adding more fruits, vegetables, whole grains, nuts and seeds to her diet. She will also provide resources and tips for a healthy journey, including the six pillars of health as outlined by the American College of Lifestyle Medicine.</p>
<p><strong>$25/person.</strong>&nbsp;Registration will close Oct. 29 or when capacity is reached. All sales are final.</p>
<p>If you will need disability-related accommodations to participate, please email&nbsp;owarren@illinois.edu.</p>
<p>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</p>
<p><strong>About the instructor</strong></p>
<p>Karla Freeze credits the plant-based lifestyle she switched to about 12 years ago for greatly improving her health, helping her to reverse ailments including type 2 diabetes, high cholesterol, psoriasis, sleep apnea, while also helping her lose weight.</p>
<p>&ldquo;Plant-based education is my passion,&rdquo; she said.</p>
<p>Karla has done many educational sessions throughout central Illinois and worked with an international dining services company in presenting health sessions in Dallas and Houston.</p>",The Farms: An Allerton Folk School > Wellness,The Studio,,16,,,,https://s3.amazonaws.com/coursestorm/live/media/17236d9e5c4511f0a371124bd5b32d05,No,No,Yes,No,No,,,Public,16,4
(SOLD OUT) Beginner Sourdough Breadmaking (Nov 2),Hannah Fink,$95.00 ,11/02/2025,,2:00 pm,5:00 pm,Regular Class,"<p><strong>Experience Level: Beginner</strong></p>
<p>Learn about the process of making sourdough bread at&nbsp;<strong>Beginner Sourdough Breadmaking on Sunday, November 2nd from 2 to 5 p.m. in the&nbsp;Mansion Kitchen and Carriage House.</strong>&nbsp;(Each class covers the same material.)</p>
<p>Instructor Hannah Fink will cover the basic biology of a ferment and what it means to a sourdough culture, how to mix sourdough, how to maintain a healthy starter in your home and the importance of baking with regionally grown grains. Students will also get hands-on experience as they learn to mix sourdough.</p>
<p>Prepared dough will be available to showcase baking and for students to prepare a snack toward the end of class. Students will take home their own jar of sourdough culture, a sample of gains from Janie&rsquo;s Mill, as well as printouts of everything covered, simple recipes and a thorough list of resources.</p>
<p><strong>$95/person.</strong> Registration will close on Oct. 23 or when capacity is reached.&nbsp;<em>All sales are final</em>.</p>
<p><strong>About the Instructor</strong></p>
<p>Hannah Fink &mdash; a baker and local food enthusiast &mdash; started&nbsp;Tooth Butter Cottage Bakery&nbsp;in Urbana so she could be at home with her son and still keep her hands in dough. She revels in naturally leavened bread and quality pastries and focuses on organic whole grains, mostly stone milled from Janie&rsquo;s Mill in Ashkum.</p>
<p>She is of the firm belief that a &ldquo;toothy dose of good butter&rdquo; is the best start, which led to the name of her business that bakes for special orders and pop-up collaborations with fellow creators.</p>
<p>Hannah started baking about 11 years ago while working in the music industry in Nashville and ended up falling in love with it enough to change careers. She started as a bread delivery driver, then worked as a kitchen manager at Pear Tree Estate in Champaign and as a pastry manager in Michigan.</p>
<p>Fink is a member of the Artisan Grain Collaborative and is looking forward to passing on the knowledge she has gained on breads and grains.</p>",The Farms: An Allerton Folk School > Culinary,Allerton Mansion,,10,,,,https://s3.amazonaws.com/coursestorm/live/media/d5428176463511f0a371124bd5b32d05,No,No,Yes,No,No,,,Unlisted,8,0
(SOLD OUT) Beginner Sourdough Breadmaking (Oct 19th),Hannah Fink,$95.00 ,10/19/2025,,2:00 pm,5:00 pm,Regular Class,"<p><strong>Experience Level: Beginner</strong></p>
<p>Learn about the process of making sourdough bread at&nbsp;<strong>Beginner Sourdough Breadmaking on Sundays, Sept. 21 or Oct. 19 from 2 to 5 p.m. in the&nbsp;Mansion Kitchen and Carriage House.&nbsp;</strong>(Each class covers the same material.)</p>
<p>Instructor Hannah Fink will cover the basic biology of a ferment and what it means to a sourdough culture, how to mix sourdough, how to maintain a healthy starter in your home and the importance of baking with regionally grown grains. Students will also get hands-on experience as they learn to mix sourdough.</p>
<p>Prepared dough will be available to showcase baking and for students to prepare a snack toward the end of class. Students will take home their own jar of sourdough culture, a sample of gains from Janie&rsquo;s Mill, as well as printouts of everything covered, simple recipes and a thorough list of resources.</p>
<p><strong>$95/person.</strong> Registration will close 10 days before each course begins or when capacity is reached.&nbsp;All sales are final.</p>
<p>&mdash; Sept. 21<br />&mdash; Oct. 19</p>
<p><strong>About the Instructor</strong></p>
<p>Hannah Fink &mdash; a baker and local food enthusiast &mdash; started&nbsp;Tooth Butter Cottage Bakery&nbsp;in Urbana so she could be at home with her son and still keep her hands in dough. She revels in naturally leavened bread and quality pastries and focuses on organic whole grains, mostly stone milled from Janie&rsquo;s Mill in Ashkum.</p>
<p>She is of the firm belief that a &ldquo;toothy dose of good butter&rdquo; is the best start, which led to the name of her business that bakes for special orders and pop-up collaborations with fellow creators.</p>
<p>Hannah started baking about 11 years ago while working in the music industry in Nashville and ended up falling in love with it enough to change careers. She started as a bread delivery driver, then worked as a kitchen manager at Pear Tree Estate in Champaign and as a pastry manager in Michigan.</p>
<p>Fink is a member of the Artisan Grain Collaborative and is looking forward to passing on the knowledge she has gained on breads and grains.</p>",The Farms: An Allerton Folk School > Culinary,Allerton Mansion,,10,,,,https://s3.amazonaws.com/coursestorm/live/media/d5428176463511f0a371124bd5b32d05,No,No,Yes,No,No,,,Public,11,4
(SOLD OUT) Beginning Watercolor,Sally Walsh,$65.00 ,10/14/2025,,9:30 am,12:00 pm,Watercolor Class,"<p><strong>Experience Level: Beginner</strong></p>
<p>Learn the foundational skills of watercolor at&nbsp;<strong>Beginning Watercolor on Tuesdays, Oct. 14 through Nov. 4 from 9:30 a.m. to 12 p.m. in&nbsp;The Studio.</strong></p>
<p>&nbsp;Instructor and former art educator Sally Walsh will walk students through new techniques each week to create paintings focusing on landscapes, flowers, fruit, glass and special effects.</p>
<p>&nbsp;<strong>$65/person*.</strong>&nbsp;Registration will close Oct. 13 or when capacity is reached.&nbsp;All sales are final.</p>
<p>*Students should bring: <br />&mdash; 140 lb. watercolor paper pad (spiral bound is best) <br />&mdash; 16-color oval pan watercolor paint set (Students can choose to borrow a watercolor pallet and brushes for a $10 fee, which can be applied at registration). <br />&mdash; Minimum of three brushes with pointed bristles: large (No. 10-12), medium (No. 6-8) and small (No. 4-6) <br />&mdash; Pencil, clear ruler, kneaded eraser</p>
<p>(Students can borrow a watercolor pallet and brushes for a $10 fee, which can be applied at registration).</p>
<p>If you will need disability-related accommodations to participate, please email&nbsp;owarren@illinois.edu.</p>
<p>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</p>
<p><strong>About the instructor</strong></p>
<p>Sally Walsh is a retired art teacher from Richland Community College in Decatur. She has more than 30 years of teaching experience and has led previous art classes at Allerton.</p>",The Farms: An Allerton Folk School > Art,The Studio,,15,,4,Tue,https://s3.amazonaws.com/coursestorm/live/media/a79237325c3f11f0a371124bd5b32d05,No,No,Yes,No,No,,,Public,15,1
(SOLD OUT) Beginning Weaving I (Afternoon),Sharon Bowles,$250.00 ,09/06/2025,,2:00 pm,5:00 pm,Regular Class,"<p><strong>Experience Level: Beginner</strong></p>
<p>Learn the basics of working with a loom at&nbsp;<strong>Beginning Weaving I (Morning) on Saturdays, Sept. 6 through Oct. 4 from 2 to 5 p.m. in the Greenhouse Auditorium</strong>.</p>
<p>This 5-week class led by Sharon Bowles will encompass all aspects of beginner weaving as students create a table runner. Participants will become familiar with weaving terminology, parts of the loom, figuring the weaving pattern for the width of the loom and project, measuring out the warp, beaming the warp back to front, threading heddles, threading the reed, tying on the warp, and winding bobbins.</p>
<p><strong>$250/person*.</strong> Registration will close Aug. 30 or when capacity is reached.&nbsp;All sales are final.</p>
<p>*Students should bring a 4-shaft loom if they have one. All other supplies will be provided, including a loom if needed.</p>
<p>Learn more about the space where your course will take place&nbsp;here. If you will need disability-related accommodations to participate, please email Olivia Bunting at&nbsp;owarren@illinois.edu.</p>
<p>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</p>
<p><strong>About the instructor</strong></p>
<p>Sharon Bowles began weaving in 1990 and started teaching shortly after. She was taught to weave in a one-on-one class and wove two table runners in 12 (approximately) 2-hour lessons, and she teaches the same method when she teaches. Sharon has experience in weaving with silk, lace weaving, 8-shaft pattern weaving, parallel weaving, block weaves, and Shaker reproduction towels.</p>","The Farms: An Allerton Folk School > Fiber Arts
The Farms: An Allerton Folk School > Art",Auditorium,,4,,5,Sat,https://s3.amazonaws.com/coursestorm/live/media/51741da55c3f11f0a371124bd5b32d05,No,No,Yes,No,No,,,Public,4,1
(SOLD OUT) Beginning Weaving I (Morning),Sharon Bowles,$250.00 ,09/06/2025,,10:30 am,1:30 pm,Regular Class,"<p><strong>Experience Level: Beginner</strong></p>
<p>Learn the basics of working with a loom at&nbsp;<strong>Beginning Weaving I (Morning) on Saturdays, Sept. 6 through Oct. 4 from 10:30 a.m. to 1:30 p.m. in the Greenhouse Auditorium.</strong></p>
<p>This 5-week class led by Sharon Bowles will encompass all aspects of beginner weaving as students create a table runner. Participants will become familiar with weaving terminology, parts of the loom, figuring the weaving pattern for the width of the loom and project, measuring out the warp, beaming the warp back to front, threading heddles, threading the reed, tying on the warp, and winding bobbins.</p>
<p><strong>$250/person*.&nbsp;Registration will close Aug. 30 or when capacity is reached.&nbsp;</strong><em>All sales are final.</em></p>
<p>*Students should bring a 4-shaft loom if they have one. All other supplies will be provided, including a loom if needed.</p>
<p>Learn more about the space where your course will take place&nbsp;here. If you will need disability-related accommodations to participate, please email Olivia Bunting at&nbsp;owarren@illinois.edu.</p>
<p>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</p>
<p><strong>About the instructor</strong></p>
<p>Sharon Bowles began weaving in 1990 and started teaching shortly after. She was taught to weave in a one-on-one class and wove two table runners in 12 (approximately) 2-hour lessons, and she teaches the same method when she teaches. Sharon has experience in weaving with silk, lace weaving, 8-shaft pattern weaving, parallel weaving, block weaves, and Shaker reproduction towels.</p>","The Farms: An Allerton Folk School > Fiber Arts
The Farms: An Allerton Folk School > Art",Auditorium,,4,,5,Sat,https://s3.amazonaws.com/coursestorm/live/media/60f288de5c3f11f0a371124bd5b32d05,No,No,Yes,No,No,,,Public,4,1
(SOLD OUT) Button Making Workshop,Billie Theide,$105.00 ,12/14/2025,,1:00 pm,4:00 pm,Regular Class,"<p><strong>Experience Level: Beginner</strong></p>
<p>Use rings, thread and yarn to take your sewing to another level at a <strong>Button Making Workshop on Sunday, Dec. 14 from 1 to 4 p.m. in The Studio.</strong></p>
<p>In this hands-on course, instructor Billie Theide will help students create beautiful and functional Dorset buttons as they learn skills such as casting, slicking, laying spokes, rounding and weaving, and embellishing.</p>
<p>Once a cottage industry in Dorset, England, Dorset buttons can be used creatively to embellish clothing and accessories and to make jewelry.</p>
<p><strong>$105. Registration will close Dec. 7</strong> or when capacity is reached. All sales are final.</p>
<p>If you will need disability-related accommodations to participate, please email&nbsp;owarren@illinois.edu.</p>
<p>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</p>
<p><strong>About the instructor</strong></p>
<p>Billie Theide is a former chair of the Crafts Program at the University of Illinois Urbana-Champaign, where she is Professor Emerita. Theide is a metalsmith, jeweler and ceramicist. Her work is in public art collections around the world including the Smithsonian, Museum of Arts &amp; Design in New York City, Nelson Atkins Museum of Art in Kansas City and the Racine Art Museum, among others.</p>
<p>She is the recipient of a Visual Arts Fellowship from the National Endowment for the Arts and five Artists Fellowship Grants from the Illinois Arts Council. Theide has been recognized for her excellence in teaching and is a Distinguished Member and Past-President of the Society of North American Goldsmiths.</p>","The Farms: An Allerton Folk School > Fiber Arts
The Farms: An Allerton Folk School > Art",The Studio,,12,,,,https://s3.amazonaws.com/coursestorm/live/media/843b3fb65a8611f0a371124bd5b32d05,No,No,Yes,No,No,,,Public,12,0
(SOLD OUT) Christmas Tree Mosaic,Danielle Reed,$70.00 ,11/02/2025,,2:00 pm,4:00 pm,Regular Class,"<p><strong>Experience Level: Beginners</strong></p>
<p>Create your own&nbsp;unique&nbsp;seasonal decoration at&nbsp;<strong>Holiday Tree Mosaics on Sunday, Nov. 2 from 2 to 4 p.m. in the&nbsp;Mansion Library.</strong></p>
<p>Instructor Danielle Reed will guide&nbsp;students&nbsp;through the process of designing and creating&nbsp;their own&nbsp;decorative holiday tree sculpture using mosaic techniques. Perfect for beginners and seasoned crafters alike, students will learn how to arrange glass, select complementary colors and textures and apply grout to bring whimsical woodland creations to life.</p>
<p>All will leave with a hand-crafted mosaic tree to enhance their holiday d&eacute;cor!&nbsp;</p>
<p><strong>$70/person. Registration will close Oct. 30 or when capacity is reached.</strong>&nbsp;<em>All sales are final.</em></p>
<p><em>If you will need disability-related accommodations to participate, please email&nbsp;owarren@illinois.edu.</em></p>
<p><em>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</em></p>
<p><strong>About the instructor</strong></p>
<p>Danielle Reed is a long-time art lover who resides in Indianapolis, Indiana. She has had her hands in fiber since a young age and loves to learn new arts and crafts.</p>
<p><strong>About The Farms</strong></p>
<p>The Farms: An Allerton Folk School, offers&nbsp;classes, workshops, and gatherings&nbsp;focusing on&nbsp;art, health &amp; wellness, history, nature &amp; outdoor education, or science.&nbsp;All experiences value hands-on, experiential teaching and learning, and are facilitated by and for the members of the community.</p>","The Farms: An Allerton Folk School > Art
Allerton Programs > Adult Programs",Allerton Mansion,Library,17,,,,https://s3.amazonaws.com/coursestorm/live/media/e3705daf671711f0a70c124bd5b32d05,No,No,Yes,No,No,,,Public,17,0
