Class Name,Instructor,Price,Start Date,End Date,Start Time,End Time,Class Type,Description,Categories,Location,Room,Max Seats,Min Seats,Length in Weeks,Days of Week,Image URL,Featured,Kids Class,Register Online,Continuous Enrollment,Canceled,Receipt Custom Text,Reminder Custom Text,Visibility,Registrants,Waiting List
Annual Container Garden Workshop,Sarah Vogel,$40.00 ,05/05/2023,,2:00 pm,3:30 pm,Regular Class,"<p>Enhance your outdoor space with a colorful container of mixed annuals! Join University of Illinois Extension (horticulture educator Sarah Vogel) (Piatt County Master Gardeners) to discuss proper planting techniques and discover ways to maintain an attractive display all summer. Plus, you&rsquo;ll take home your own beautiful 12&rdquo; planter!</p>",Allerton Programs > Adult Programs,Greenhouse,Auditorium,20,5,,,https://s3.amazonaws.com/coursestorm/live/media/8496f24bd31411ed97c212522d624241,Yes,No,Yes,No,No,,,Public,12,0
Foraging Hike with Naturalist-in-Residence,Michael Baker,Free,05/09/2023,,5:00 pm,5:00 pm,Regular Class,"<p>Michael Baker is a professional foraging educator and podcaster in the Chicago suburbs. His show, the Wild Edible World podcast, seeks to educate anyone who will listen on edible plants and fungi, what they taste like, and where you can find them. He is also a co-founder of Remnant Roots non-profit which seeks to adopt vacant lots and turn them into native plant sanctuaries.</p>
<p>On your hikes you can expect to be introduced to a variety of wild edible plants and mushrooms. Your fearless guide will help you understand the differences of toxic lookalikes, end wild food stigmas, serve many trailside nibbles, and teach you how to forage free food for yourself as we take an adventure through Allerton Park Natural Areas with hungry eyes!</p>
<p>Michael Baker is Allerton&rsquo;s first Naturalist-in-Residence who will be spending three weeks exploring the Allerton estate, leading hikes, and creating helpful plant information that will be shared with the Allerton community.</p>
<p><strong><em>**Please note that hikes will meet at different places around the Park during Michael&rsquo;s 3-week stay. If a meeting place is TBD or &ldquo;subject to change&rdquo; you will be notified via email of where to meet for the hike</em></strong></p>
<p><strong>Dates:</strong></p>
<p>Tues May 9th @ 5pm-7pm; meet at Visitor&rsquo;s Center</p>
<p>Thurs May 11th&nbsp;@ 5pm-7pm; Meet at Visitor&rsquo;s Center</p>
<p>Sat May 13th&nbsp;@11am-1pm; Meet at Visitor&rsquo;s Center (subject to change)</p>
<p>Mon May 15th&nbsp;@ 3pm-5pm; Meeting place TBD</p>
<p>Weds May 17th&nbsp;@11am-1pm; Meeting place TBD</p>
<p>Sun&nbsp;May 21 @ 11am-1pm; Meeting place TBD</p>
<p>Tues May 23rd&nbsp;@ 11am-1pm; Meeting place TBD</p>
<p>Thurs May 25th&nbsp;@ 5pm-7am; Meeting place TBD</p>",Allerton Programs > All Ages Programs,Visitor's Center Complex,,15,,,,https://s3.amazonaws.com/coursestorm/live/media/2f33ff61eb6811ed882f1249bb2c95b1,No,No,Yes,No,No,,,Public,7,0
Foraging Hike with Naturalist-in-Residence,Michael Baker,Free,05/11/2023,,5:00 pm,7:00 pm,Regular Class,"<p>Michael Baker is a professional foraging educator and podcaster in the Chicago suburbs. His show, the Wild Edible World podcast, seeks to educate anyone who will listen on edible plants and fungi, what they taste like, and where you can find them. He is also a co-founder of Remnant Roots non-profit which seeks to adopt vacant lots and turn them into native plant sanctuaries.</p>
<p>On your hikes you can expect to be introduced to a variety of wild edible plants and mushrooms. Your fearless guide will help you understand the differences of toxic lookalikes, end wild food stigmas, serve many trailside nibbles, and teach you how to forage free food for yourself as we take an adventure through Allerton Park Natural Areas with hungry eyes!</p>
<p>Michael Baker is Allerton&rsquo;s first Naturalist-in-Residence who will be spending three weeks exploring the Allerton estate, leading hikes, and creating helpful plant information that will be shared with the Allerton community.</p>
<p><strong><em>**Please note that hikes will meet at different places around the Park during Michael&rsquo;s 3-week stay. If a meeting place is TBD or &ldquo;subject to change&rdquo; you will be notified via email of where to meet for the hike</em></strong></p>
<p><strong>Dates:</strong></p>
<p>Tues May 9th @ 5pm-7pm; meet at Visitor&rsquo;s Center</p>
<p>Thurs May 11th&nbsp;@ 5pm-7pm; Meet at Visitor&rsquo;s Center</p>
<p>Sat May 13th&nbsp;@11am-1pm; Meet at Visitor&rsquo;s Center (subject to change)</p>
<p>Mon May 15th&nbsp;@ 3pm-5pm; Meeting place TBD</p>
<p>Weds May 17th&nbsp;@11am-1pm; Meeting place TBD</p>
<p>Sun&nbsp;May 21 @ 11am-1pm; Meeting place TBD</p>
<p>Tues May 23rd&nbsp;@ 11am-1pm; Meeting place TBD</p>
<p>Thurs May 25th&nbsp;@ 5pm-7am; Meeting place TBD</p>",Allerton Programs > All Ages Programs,Visitor's Center Complex,,15,,,,https://s3.amazonaws.com/coursestorm/live/media/2f33ff61eb6811ed882f1249bb2c95b1,No,No,Yes,No,No,,,Public,15,0
Foraging Hike with Naturalist-in-Residence,Michael Baker,Free,05/13/2023,,11:00 am,1:00 pm,Regular Class,"<p>Michael Baker is a professional foraging educator and podcaster in the Chicago suburbs. His show, the Wild Edible World podcast, seeks to educate anyone who will listen on edible plants and fungi, what they taste like, and where you can find them. He is also a co-founder of Remnant Roots non-profit which seeks to adopt vacant lots and turn them into native plant sanctuaries.</p>
<p>On your hikes you can expect to be introduced to a variety of wild edible plants and mushrooms. Your fearless guide will help you understand the differences of toxic lookalikes, end wild food stigmas, serve many trailside nibbles, and teach you how to forage free food for yourself as we take an adventure through Allerton Park Natural Areas with hungry eyes!</p>
<p>Michael Baker is Allerton&rsquo;s first Naturalist-in-Residence who will be spending three weeks exploring the Allerton estate, leading hikes, and creating helpful plant information that will be shared with the Allerton community.</p>
<p><strong><em>**Please note that hikes will meet at different places around the Park during Michael&rsquo;s 3-week stay. If a meeting place is TBD or &ldquo;subject to change&rdquo; you will be notified via email of where to meet for the hike</em></strong></p>
<p><strong>Dates:</strong></p>
<p>Tues May 9th @ 5pm-7pm; meet at Visitor&rsquo;s Center</p>
<p>Thurs May 11th&nbsp;@ 5pm-7pm; Meet at Visitor&rsquo;s Center</p>
<p>Sat May 13th&nbsp;@11am-1pm; Meet at Visitor&rsquo;s Center (subject to change)</p>
<p>Mon May 15th&nbsp;@ 3pm-5pm; Meeting place TBD</p>
<p>Weds May 17th&nbsp;@11am-1pm; Meeting place TBD</p>
<p>Sun&nbsp;May 21 @ 11am-1pm; Meeting place TBD</p>
<p>Tues May 23rd&nbsp;@ 11am-1pm; Meeting place TBD</p>
<p>Thurs May 25th&nbsp;@ 5pm-7am; Meeting place TBD</p>",Allerton Programs > All Ages Programs,,,15,,,,https://s3.amazonaws.com/coursestorm/live/media/2f33ff61eb6811ed882f1249bb2c95b1,No,No,Yes,No,No,,,Public,14,2
Foraging Hike with Naturalist-in-Residence,Michael Baker,Free,05/15/2023,,3:00 pm,5:00 pm,Regular Class,"<p>Michael Baker is a professional foraging educator and podcaster in the Chicago suburbs. His show, the Wild Edible World podcast, seeks to educate anyone who will listen on edible plants and fungi, what they taste like, and where you can find them. He is also a co-founder of Remnant Roots non-profit which seeks to adopt vacant lots and turn them into native plant sanctuaries.</p>
<p>On your hikes you can expect to be introduced to a variety of wild edible plants and mushrooms. Your fearless guide will help you understand the differences of toxic lookalikes, end wild food stigmas, serve many trailside nibbles, and teach you how to forage free food for yourself as we take an adventure through Allerton Park Natural Areas with hungry eyes!</p>
<p>Michael Baker is Allerton&rsquo;s first Naturalist-in-Residence who will be spending three weeks exploring the Allerton estate, leading hikes, and creating helpful plant information that will be shared with the Allerton community.</p>
<p><strong><em>**Please note that hikes will meet at different places around the Park during Michael&rsquo;s 3-week stay. If a meeting place is TBD or &ldquo;subject to change&rdquo; you will be notified via email of where to meet for the hike</em></strong></p>
<p><strong>Dates:</strong></p>
<p>Tues May 9th @ 5pm-7pm; meet at Visitor&rsquo;s Center</p>
<p>Thurs May 11th&nbsp;@ 5pm-7pm; Meet at Visitor&rsquo;s Center</p>
<p>Sat May 13th&nbsp;@11am-1pm; Meet at Visitor&rsquo;s Center (subject to change)</p>
<p>Mon May 15th&nbsp;@ 3pm-5pm; Meet at Sun Singer</p>
<p>Weds May 17th&nbsp;@11am-1pm;&nbsp;Meet at Sun Singer</p>
<p>Sun&nbsp;May 21 @ 11am-1pm; Meeting place TBD</p>
<p>Tues May 23rd&nbsp;@ 11am-1pm; Meeting place TBD</p>
<p>Thurs May 25th&nbsp;@ 5pm-7am; Meeting place TBD</p>",Allerton Programs > All Ages Programs,Sun Singer,,15,,,,https://s3.amazonaws.com/coursestorm/live/media/2f33ff61eb6811ed882f1249bb2c95b1,No,No,Yes,No,No,,,Public,15,0
Foraging Hike with Naturalist-in-Residence,Michael Baker,Free,05/17/2023,,11:00 am,1:00 pm,Regular Class,"<p>Michael Baker is a professional foraging educator and podcaster in the Chicago suburbs. His show, the Wild Edible World podcast, seeks to educate anyone who will listen on edible plants and fungi, what they taste like, and where you can find them. He is also a co-founder of Remnant Roots non-profit which seeks to adopt vacant lots and turn them into native plant sanctuaries.</p>
<p>On your hikes you can expect to be introduced to a variety of wild edible plants and mushrooms. Your fearless guide will help you understand the differences of toxic lookalikes, end wild food stigmas, serve many trailside nibbles, and teach you how to forage free food for yourself as we take an adventure through Allerton Park Natural Areas with hungry eyes!</p>
<p>Michael Baker is Allerton&rsquo;s first Naturalist-in-Residence who will be spending three weeks exploring the Allerton estate, leading hikes, and creating helpful plant information that will be shared with the Allerton community.</p>
<p><strong><em>**Please note that hikes will meet at different places around the Park during Michael&rsquo;s 3-week stay. If a meeting place is TBD or &ldquo;subject to change&rdquo; you will be notified via email of where to meet for the hike</em></strong></p>
<p><strong>Dates:</strong></p>
<p>Tues May 9th @ 5pm-7pm; meet at Visitor&rsquo;s Center</p>
<p>Thurs May 11th&nbsp;@ 5pm-7pm; Meet at Visitor&rsquo;s Center</p>
<p>Sat May 13th&nbsp;@11am-1pm; Meet at Visitor&rsquo;s Center (subject to change)</p>
<p>Mon May 15th&nbsp;@ 3pm-5pm;&nbsp;Meet at Sun Singer</p>
<p>Weds May 17th&nbsp;@11am-1pm;&nbsp;Meet at Sun Singer</p>
<p>Sun&nbsp;May 21 @ 11am-1pm; Meeting place TBD</p>
<p>Tues May 23rd&nbsp;@ 11am-1pm; Meeting place TBD</p>
<p>Thurs May 25th&nbsp;@ 5pm-7am; Meeting place TBD</p>",Allerton Programs > All Ages Programs,Sun Singer,,15,,,,https://s3.amazonaws.com/coursestorm/live/media/2f33ff61eb6811ed882f1249bb2c95b1,No,No,Yes,No,No,,,Public,15,2
Foraging Hike with Naturalist-in-Residence 5/21,Michael Baker,Free,05/21/2023,,1:00 pm,3:00 pm,Regular Class,"<p>Michael Baker is a professional foraging educator and podcaster in the Chicago suburbs. His show, the Wild Edible World podcast, seeks to educate anyone who will listen on edible plants and fungi, what they taste like, and where you can find them. He is also a co-founder of Remnant Roots non-profit which seeks to adopt vacant lots and turn them into native plant sanctuaries.</p>
<p>On your hikes you can expect to be introduced to a variety of wild edible plants and mushrooms. Your fearless guide will help you understand the differences of toxic lookalikes, end wild food stigmas, serve many trailside nibbles, and teach you how to forage free food for yourself as we take an adventure through Allerton Park Natural Areas with hungry eyes!</p>
<p>Michael Baker is Allerton&rsquo;s first Naturalist-in-Residence who will be spending three weeks exploring the Allerton estate, leading hikes, and creating helpful plant information that will be shared with the Allerton community.</p>
<p><strong><em>**Please note that hikes will meet at different places around the Park during Michael&rsquo;s 3-week stay. If a meeting place is TBD or &ldquo;subject to change&rdquo; you will be notified via email of where to meet for the hike</em></strong></p>
<p><strong>Dates:</strong></p>
<p>Tues May 9th @ 5pm-7pm; meet at Visitor&rsquo;s Center</p>
<p>Thurs May 11th&nbsp;@ 5pm-7pm; Meet at Visitor&rsquo;s Center</p>
<p>Sat May 13th&nbsp;@11am-1pm; Meet at Visitor&rsquo;s Center (subject to change)</p>
<p>Mon May 15th&nbsp;@ 3pm-5pm; Sun Singer</p>
<p>Weds May 17th&nbsp;@11am-1pm;&nbsp;Sun Singer</p>
<p>Sun&nbsp;May 21 @ 11am-1pm;&nbsp;Sun Singer</p>
<p>Tues May 23rd&nbsp;@ 11am-1pm;&nbsp;Sun Singer</p>
<p>Thurs May 25th&nbsp;@ 5pm-7pm;&nbsp;Sun Singer</p>",Allerton Programs > All Ages Programs,Sun Singer,,15,,,,https://s3.amazonaws.com/coursestorm/live/media/2f33ff61eb6811ed882f1249bb2c95b1,No,No,Yes,No,No,,,Public,18,17
Foraging Hike with Naturalist-in-Residence 5/23,Michael Baker,Free,05/23/2023,,11:00 am,1:00 pm,Regular Class,"<p>Michael Baker is a professional foraging educator and podcaster in the Chicago suburbs. His show, the Wild Edible World podcast, seeks to educate anyone who will listen on edible plants and fungi, what they taste like, and where you can find them. He is also a co-founder of Remnant Roots non-profit which seeks to adopt vacant lots and turn them into native plant sanctuaries.</p>
<p>On your hikes you can expect to be introduced to a variety of wild edible plants and mushrooms. Your fearless guide will help you understand the differences of toxic lookalikes, end wild food stigmas, serve many trailside nibbles, and teach you how to forage free food for yourself as we take an adventure through Allerton Park Natural Areas with hungry eyes!</p>
<p>Michael Baker is Allerton&rsquo;s first Naturalist-in-Residence who will be spending three weeks exploring the Allerton estate, leading hikes, and creating helpful plant information that will be shared with the Allerton community.</p>
<p><strong><em>**Please note that hikes will meet at different places around the Park during Michael&rsquo;s 3-week stay. If a meeting place is TBD or &ldquo;subject to change&rdquo; you will be notified via email of where to meet for the hike</em></strong></p>
<p><strong>Dates:</strong></p>
<p>Tues May 9th @ 5pm-7pm; meet at Visitor&rsquo;s Center</p>
<p>Thurs May 11th&nbsp;@ 5pm-7pm; Meet at Visitor&rsquo;s Center</p>
<p>Sat May 13th&nbsp;@11am-1pm; Meet at Visitor&rsquo;s Center (subject to change)</p>
<p>Mon May 15th&nbsp;@ 3pm-5pm;&nbsp;Sun Singer</p>
<p>Weds May 17th&nbsp;@11am-1pm;&nbsp;Sun Singer</p>
<p>Sun&nbsp;May 21 @ 11am-1pm;&nbsp;Sun Singer</p>
<p>Tues May 23rd&nbsp;@ 11am-1pm;&nbsp;Sun Singer</p>
<p>Thurs May 25th&nbsp;@ 5pm-7am;&nbsp;Sun Singer</p>",Allerton Programs > All Ages Programs,Sun Singer,,15,,,,https://s3.amazonaws.com/coursestorm/live/media/2f33ff61eb6811ed882f1249bb2c95b1,No,No,Yes,No,No,,,Public,15,12
Foraging Hike with Naturalist-in-Residence 5/25,Michael Baker,Free,05/25/2023,,5:00 pm,7:00 pm,Regular Class,"<p>Michael Baker is a professional foraging educator and podcaster in the Chicago suburbs. His show, the Wild Edible World podcast, seeks to educate anyone who will listen on edible plants and fungi, what they taste like, and where you can find them. He is also a co-founder of Remnant Roots non-profit which seeks to adopt vacant lots and turn them into native plant sanctuaries.</p>
<p>On your hikes you can expect to be introduced to a variety of wild edible plants and mushrooms. Your fearless guide will help you understand the differences of toxic lookalikes, end wild food stigmas, serve many trailside nibbles, and teach you how to forage free food for yourself as we take an adventure through Allerton Park Natural Areas with hungry eyes!</p>
<p>Michael Baker is Allerton&rsquo;s first Naturalist-in-Residence who will be spending three weeks exploring the Allerton estate, leading hikes, and creating helpful plant information that will be shared with the Allerton community.</p>
<p><strong><em>**Please note that hikes will meet at different places around the Park during Michael&rsquo;s 3-week stay. If a meeting place is TBD or &ldquo;subject to change&rdquo; you will be notified via email of where to meet for the hike</em></strong></p>
<p><strong>Dates:</strong></p>
<p>Tues May 9th @ 5pm-7pm; meet at Visitor&rsquo;s Center</p>
<p>Thurs May 11th&nbsp;@ 5pm-7pm; Meet at Visitor&rsquo;s Center</p>
<p>Sat May 13th&nbsp;@11am-1pm; Meet at Visitor&rsquo;s Center (subject to change)</p>
<p>Mon May 15th&nbsp;@ 3pm-5pm;&nbsp;Sun Singer</p>
<p>Weds May 17th&nbsp;@11am-1pm;&nbsp;Sun Singer</p>
<p>Sun&nbsp;May 21 @ 11am-1pm;&nbsp;Sun Singer</p>
<p>Tues May 23rd&nbsp;@ 11am-1pm;&nbsp;Sun Singer</p>
<p>Thurs May 25th&nbsp;@ 5pm-7am;&nbsp;Sun Singer</p>",Allerton Programs > All Ages Programs,Sun Singer,,15,,,,https://s3.amazonaws.com/coursestorm/live/media/2f33ff61eb6811ed882f1249bb2c95b1,No,No,Yes,No,No,,,Public,14,16
Macrame Plant Hanger Workshop,Macy McCall,$70.00 ,05/13/2023,,1:00 pm,3:00 pm,Regular Class,"<p>Join Macy McCall from TwinFringe as she guides you through creating your own macram&eacute;&nbsp;plant hanger. In this 2-hour workshop, you will learn beginner macram&eacute;&nbsp;knots and leave with your own handmade plant hanger just in time for Spring! House plants from a local plant shop will be available for purchase after class, as well. No prior experience is necessary, and all materials are included. *This workshop requires standing for most of the class*</p>
<p>&nbsp;</p>",Allerton Programs,Greenhouse,Auditorium,8,2,,,https://s3.amazonaws.com/coursestorm/live/media/a435e513d31511ed97c212522d624241,No,No,Yes,No,No,,,Public,4,0
