Class Name,Instructor,Price,Start Date,End Date,Start Time,End Time,Class Type,Description,Categories,Location,Room,Max Seats,Min Seats,Length in Weeks,Days of Week,Image URL,Featured,Kids Class,Register Online,Continuous Enrollment,Canceled,Receipt Custom Text,Reminder Custom Text,Visibility,Registrants,Waiting List
Baking with Olive Oil,Leah Bodine,$40.00 ,08/23/2026,,1:00 pm,3:00 pm,Regular Class,"<p><strong>Experience Level: Beginner&nbsp;</strong></p>
<p>Step up your baking game and skip the butter at&nbsp;<strong>Baking with Olive Oil on Sunday, Aug. 23&nbsp;from 1 to 3 p.m. in the Allerton Dining Room</strong>.&nbsp;</p>
<p>Chef Leah Bodine will teach students how using olive oil in sweet and savory recipes can take your baking to the next level.&nbsp;</p>
<p><strong>$45/person. Register here.&nbsp;Registration&nbsp;closes on Aug. 9 or when capacity is reached</strong>.&nbsp;<em>All sales are final.&nbsp;</em></p>
<p><em>Learn more about the space where your course will take place?here. If&nbsp;you will&nbsp;need disability-related accommodations to participate, please email Olivia at?owarren@illinois.edu.&nbsp;</em></p>
<p><em>By attending, you consent to your image being used in Allerton marketing, social&nbsp;media&nbsp;and publications. Please alert the photographer or videographer if you do not want your image&nbsp;taken.&nbsp;</em></p>
<p><strong>About the Instructor</strong>&nbsp;</p>
<p>Leah Bodine calls herself the &lsquo;accidental chef&rsquo; with years of experience in the food industry. She started her catering company,?Blue Dragonfly Catering,?to express her creative mind in food preparation and cultivating recipes. She loves sharing her skills with others and seeing the fascination on students&rsquo; faces when they realize how creative they can be and how easy it is to do so.&nbsp;</p>
<p>Her experiences in the food industry have led her to live in Paris and cater for rock and country legends.&nbsp;</p>","Allerton Programs > All Ages Programs
The Farms: An Allerton Folk School > Art
Skill Level > Beginner
The Farms: An Allerton Folk School > Culinary",Allerton Mansion,Dining Room,20,,,,https://s3.amazonaws.com/coursestorm/live/media/3dd8a4011f0811f185ff0affe5650d13,No,No,Yes,No,No,,,Public,0,0
Barn Quilt Painting - August 15,Jane Cade,$90.00 ,08/15/2026,,8:00 am,1:00 pm,Barn Quilts August,"<p>Experience Level: Beginner</p>
<p>Join the barn quilt movement by creating your own painted quilt block to use on the inside or outside of your home at&nbsp;<strong>Barn Quilt Painting on Saturday, August 15 from 8 a.m. to 1 p.m. in&nbsp;The Studio</strong>.</p>
<p>Students will begin with one of three options on a pre-primed board with&nbsp;their choice of design&nbsp;already drafted (choose between three star and sunburst designs at registration). Students will tape and paint at their own pace, choosing from a wide variety of colors.</p>
<p>Instructor Jane Cade will share a history of barn quilts, techniques, tips, and discuss how to properly seal your finished piece after the paint has dried for 48 hours. Leave with a 20&times;20&Prime; wooden &lsquo;quilt block&rsquo; to keep for yourself or share your talents and give someone a handmade gift.</p>
<p><strong>$90/person.</strong>&nbsp;<strong>Registration closes August 7 or when capacity is reached.</strong>&nbsp;<em>All sales are final.</em></p>
<p><em>Learn more about the space where your course will take place&nbsp;here.&nbsp;If you will need disability-related accommodations to participate, please email Olivia at&nbsp;owarren@illinois.edu.</em></p>
<p><em>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</em></p>
<p><strong>About the instructor</strong></p>
<p>Jane Cade is a retired teacher from Clinton Junior High School. She has been painting barn quilts for eight years and sells her work online and at craft festivals. She teaches classes at Parkland Community College and will be teaching classes at her workshop beginning next year.</p>","The Farms: An Allerton Folk School > Art
The Farms: An Allerton Folk School > Storytelling
Allerton Programs > Adult Programs
Skill Level > Beginner",The Studio,,12,,,,https://s3.amazonaws.com/coursestorm/live/media/2e508ef5173911f185ff0affe5650d13,No,No,Yes,No,No,,,Public,0,0
Barn Quilt Painting - June 13,Jane Cade,$90.00 ,06/13/2026,,8:00 am,1:00 pm,Barn Quilts June,"<p><strong>Experience Level: Beginner</strong></p>
<p>Join the barn quilt movement by creating your own painted quilt block to use on the inside or outside of your home at&nbsp;<strong>Barn Quilt Painting on Saturday, June 13 from 8 a.m. to 1 p.m. in&nbsp;The Studio.</strong></p>
<p>Students will begin with one of three options on a pre-primed board with&nbsp;their choice of design&nbsp;already drafted (choose between two star and sunburst designs at registration). Students will tape and paint at their own pace, choosing from a wide variety of colors.</p>
<p>Instructor Jane Cade will share a history of barn quilts, techniques, tips, and discuss how to properly seal your finished piece after the paint has dried for 48 hours. Leave with a 20&times;20&Prime; wooden &lsquo;quilt block&rsquo; to keep for yourself or share your talents and give someone a handmade gift.</p>
<p><strong>$90/person. Registration closes June 6 or when capacity is reached.</strong>&nbsp;<em>All sales are final.</em></p>
<p><em>If you will need disability-related accommodations to participate, please email Olivia at&nbsp;owarren@illinois.edu.</em></p>
<p><em>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</em></p>
<p><strong>About the instructor</strong></p>
<p>Jane Cade is a retired teacher from Clinton Junior High School. She has been painting barn quilts for eight years and sells her work online and at craft festivals. She teaches classes at Parkland Community College and will be teaching classes at her workshop beginning next year.</p>","The Farms: An Allerton Folk School > Art
Allerton Programs > Adult Programs
Skill Level > Beginner",The Studio,,12,,,,https://s3.amazonaws.com/coursestorm/live/media/1295b4d5132911f185ff0affe5650d13,No,No,Yes,No,No,,,Public,0,0
Barn Quilt Painting - May 30,Jane Cade,$90.00 ,05/30/2026,,8:00 am,1:00 pm,Barn Quilts May,"<p><strong>Experience Level: Beginner</strong></p>
<p>Join the barn quilt movement by creating your own painted quilt block to use on the inside or outside of your home at&nbsp;<strong>Barn Quilt Painting on Saturday, May 30 from 8 a.m. to 1 p.m. in&nbsp;The Studio.</strong></p>
<p>Students will begin with one of three options on a pre-primed board with&nbsp;their choice of design&nbsp;already drafted (choose between a sunflower or star design at registration). Students will tape and paint at their own pace, choosing from a wide variety of colors.</p>
<p>Instructor Jane Cade will share a history of barn quilts, techniques, tips, and discuss how to properly seal your finished piece after the paint has dried for 48 hours. Leave with a 20&times;20&Prime; wooden &lsquo;quilt block&rsquo; to keep for yourself or share your talents and give someone a handmade gift.</p>
<p><strong>$90/person. Registration closes May 22 or when capacity is reached.</strong>&nbsp;<em>All sales are final.</em></p>
<p><em>Learn more about the space where your course will take place&nbsp;here.&nbsp;If you will need disability-related accommodations to participate, please email Olivia at&nbsp;owarren@illinois.edu.</em></p>
<p><em>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</em></p>
<p><strong>About the instructor</strong></p>
<p>Jane Cade is a retired teacher from Clinton Junior High School. She has been painting barn quilts for eight years and sells her work online and at craft festivals. She teaches classes at Parkland Community College and will be teaching classes at her workshop beginning next year.</p>","The Farms: An Allerton Folk School > Art
Allerton Programs > Adult Programs
Skill Level > All Levels",The Studio,,12,,,,https://s3.amazonaws.com/coursestorm/live/media/ed41d98d127d11f185ff0affe5650d13,No,No,Yes,No,No,,,Public,0,0
Basics of Plant-Based Eating,Karla Freeze,$25.00 ,05/27/2026,,5:00 pm,7:00 pm,Regular Class,"<p><strong>Experience Level: Beginner</strong></p>
<p>Learn about how to improve your health by letting go of highly processed foods at <strong>Basics of Plant-Based eating on Wednesday, May 27 from 5 to 7 p.m. in The Studio.</strong></p>
<p>Instructor Karla Freeze will share the story of how she regained her health by adding more fruits, vegetables, whole grains, nuts and seeds to her diet. She will also provide resources and tips for a healthy journey, including the six pillars of health as outlined by the American College of Lifestyle Medicine.</p>
<p><strong>$25/person.</strong>&nbsp;<strong>Registration will close May 20 or when capacity is reached.</strong> <em>All sales are final.</em></p>
<p><em>If you will need disability-related accommodations to participate, please email&nbsp;owarren@illinois.edu.</em></p>
<p><em>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</em></p>
<p><strong>About the instructor</strong></p>
<p>Karla Freeze credits the plant-based lifestyle she switched to about 12 years ago for greatly improving her health, helping her to reverse ailments including type 2 diabetes, high cholesterol, psoriasis, sleep apnea, while also helping her lose weight.</p>
<p>&ldquo;Plant-based education is my passion,&rdquo; she said.</p>
<p>Karla has done many educational sessions throughout central Illinois and worked with an international dining services company in presenting health sessions in Dallas and Houston.</p>","The Farms: An Allerton Folk School > Wellness
Allerton Programs > Adult Programs
Skill Level > All Levels",The Studio,,16,,,,https://s3.amazonaws.com/coursestorm/live/media/0d608a2ac1a311f085ff0affe5650d13,No,No,Yes,No,No,,,Public,0,0
Basket Weaving: April Flowers,Bonnie Rideout,$75.00 ,08/21/2026,,12:00 pm,4:00 pm,Regular Class,"<p><strong>Experience Level: All Levels</strong></p>
<p>Learn the basics of weaving and take home a basket at <strong>Basket Weaving: April Flowers on Friday, August 21 from 12 to 4 p.m. in The Studio.</strong></p>
<p>Instructor Bonnie Rideout will lead students?in&nbsp;weaving a basket for their wall or door with a custom &ldquo;quick weave&rdquo; handle. Students will learn&nbsp;weaving techniques including start/stop weaving, triple twining, and how to include overlays. Choose from a variety of florals to make this basket seasonal and unique to you.&nbsp;</p>
<p><strong>$75/person. Registration will close Aug. 14 or when capacity is reached.&nbsp;</strong><em>All sales are final.</em></p>
<p><em>If you will need disability-related accommodations to participate, please email Olivia at&nbsp;owarren@illinois.edu.</em></p>
<p><em>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</em></p>
<p><strong>About the instructor</strong></p>
<p>Bonnie Rideout wove her first basket in 1994 and quickly caught the &ldquo;basket bug.&rdquo; She created a business &mdash;&nbsp;Bonnie&rsquo;s Baskets&nbsp;in Decatur &mdash; in 2006 to teach others to weave. She is also a traveling instructor and has taught weaving in 18 states.</p>
<p>Find out more about Bonnie on her&nbsp;website, Facebook, Instagram and Etsy pages.</p>
<p><strong>About The Farms</strong></p>
<p>The Farms: An Allerton Folk School, offers&nbsp;classes, workshops, and gatherings&nbsp;focusing on&nbsp;art, health &amp; wellness, history, nature &amp; outdoor education, or science.&nbsp;All experiences value hands-on, experiential teaching and learning, and are facilitated by and for the members of the community.</p>","The Farms: An Allerton Folk School > Fiber Arts
The Farms: An Allerton Folk School > Art
Allerton Programs > Adult Programs
Skill Level > All Levels",The Studio,,12,,,Fri,https://s3.amazonaws.com/coursestorm/live/media/ec110e3f173a11f185ff0affe5650d13,No,No,Yes,No,No,,,Public,0,0
Basket Weaving: Bagel Basket,Bonnie Rideout,$100.00 ,05/22/2026,,10:00 am,4:00 pm,Regular Class,"<p><strong>Experience Level: All Levels</strong></p>
<p>Learn the basics of weaving and take home a basket at <strong>Basket Weaving: Bagel Basket on Friday, May 22 from 10 a.m to 4 p.m. in The Studio.</strong></p>
<p>&nbsp;Instructor Bonnie Rideout will lead students as they start by&nbsp;creating a woven, filled base for the basket. Students will then learn about twining,&nbsp;triple twining&nbsp;using an arrow weave, and adding leather handles with an overlay. Finally,&nbsp;students will&nbsp;add&nbsp;beads and copper wire to finish off their baskets&nbsp;choosing from&nbsp;a variety of beads available during the class.</p>
<p><strong>$100/person. Registration will close May 15 or when capacity is reached.&nbsp;</strong><em>All sales are final.</em></p>
<p><em>If you will need disability-related accommodations to participate, please email Olivia at&nbsp;owarren@illinois.edu.</em></p>
<p><em>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</em></p>
<p><strong>About the instructor</strong></p>
<p>Bonnie Rideout wove her first basket in 1994 and quickly caught the &ldquo;basket bug.&rdquo; She created a business &mdash;&nbsp;Bonnie&rsquo;s Baskets&nbsp;in Decatur &mdash; in 2006 to teach others to weave. She is also a traveling instructor and has taught weaving in 18 states.</p>
<p>Find out more about Bonnie on her&nbsp;website, Facebook, Instagram and Etsy pages.</p>","The Farms: An Allerton Folk School > Fiber Arts
The Farms: An Allerton Folk School > Art
Allerton Programs > Adult Programs
Skill Level > All Levels",The Studio,,12,,,Fri,https://s3.amazonaws.com/coursestorm/live/media/aabce269127a11f185ff0affe5650d13,No,No,Yes,No,No,,,Public,0,0
Basket Weaving: Long Way Home,Bonnie Rideout,$100.00 ,07/17/2026,,10:00 am,4:00 pm,Regular Class,"<p><strong>Experience Level: All Levels</strong></p>
<p>Learn the basics of weaving and take home a basket at <strong>Basket Weaving: Long Way Home on Friday, July 17 from 10 a.m. to 4 p.m. in The Studio.</strong></p>
<p>&nbsp;</p>
<p><strong>$100/person. Registration will close July 10 or when capacity is reached.&nbsp;</strong><em>All sales are final.</em></p>
<p><em>If you will need disability-related accommodations to participate, please email Olivia at&nbsp;owarren@illinois.edu.</em></p>
<p><em>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</em></p>
<p><strong>About the instructor</strong></p>
<p>Bonnie Rideout wove her first basket in 1994 and quickly caught the &ldquo;basket bug.&rdquo; She created a business &mdash;&nbsp;Bonnie&rsquo;s Baskets&nbsp;in Decatur &mdash; in 2006 to teach others to weave. She is also a traveling instructor and has taught weaving in 18 states.</p>
<p>Find out more about Bonnie on her&nbsp;website, Facebook, Instagram and Etsy pages.</p>
<p><strong>About The Farms</strong></p>
<p>The Farms: An Allerton Folk School, offers&nbsp;classes, workshops, and gatherings&nbsp;focusing on&nbsp;art, health &amp; wellness, history, nature &amp; outdoor education, or science.&nbsp;All experiences value hands-on, experiential teaching and learning, and are facilitated by and for the members of the community.</p>","The Farms: An Allerton Folk School > Fiber Arts
The Farms: An Allerton Folk School > Art
Allerton Programs > Adult Programs
Skill Level > All Levels",The Studio,,12,,,Fri,https://s3.amazonaws.com/coursestorm/live/media/917f6930173511f185ff0affe5650d13,No,No,Yes,No,No,,,Public,0,0
Beginning Bobbinlace,Robin Bagwell,$195.00 ,05/12/2026,,10:00 am,12:00 pm,Regular Class,"<p><strong>Experience Level: Beginner</strong></p>
<p>Learn an ancient form of textile art at&nbsp;<strong>Beginning Bobbin Lace on Tuesdays, May 12 through May 26 from 10 a.m. to 12 p.m. in&nbsp;The Studio.</strong></p>
<p>With all of the resources that connect lacemakers across the world, there&rsquo;s never been a better time to learn how to bobbin lace! Instructor Robin Bagwell will lead this hands-on class, teaching how to cross and twist as well as how to follow pattern.</p>
<p>Students will get the feel of moving bobbins and seeing various patterns develop as they learn the half stitch, cloth stitch and whole stitch. Written instructions will allow participants to continue their bobbin lace at home.</p>
<p><strong>$195/person. Registration will close May 5 or when capacity is reached.</strong><em>&nbsp;All sales are final.</em></p>
<p><em>If you will need disability-related accommodations in order to participate, please email Olivia at&nbsp;owarren@illinois.edu.</em></p>
<p><em>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image taken.</em></p>
<p><strong>About the instructor</strong></p>
<p>Robin Bagwell learned bobbin lace at a park in 1994 after running across a lady she just happened to meet! That led to Sunday afternoon sessions during the summer to learn the textile art form. She has been enjoying and teaching bobbin lace since.</p>
<p><strong>About The Farms</strong></p>
<p>The Farms: An Allerton Folk School, offers&nbsp;classes, workshops, and gatherings&nbsp;focusing on&nbsp;art, health &amp; wellness, history, nature &amp; outdoor education, or science.&nbsp;All experiences value hands-on, experiential teaching and learning, and are facilitated by and for the members of the community.</p>","The Farms: An Allerton Folk School > Fiber Arts
The Farms: An Allerton Folk School > Art
Allerton Programs > Adult Programs
Skill Level > Beginner",The Studio,,4,,3,Tue,https://s3.amazonaws.com/coursestorm/live/media/b118e9b7c57e11f085ff0affe5650d13,No,No,Yes,No,No,,,Public,0,0
Beyond Beginning Weaving,Sharon Bowles,$290.00 ,08/15/2026,,9:00 am,5:00 pm,Regular Class,"<p><strong>Experience Level: Intermediate (have taken BW1 and 2 or similar experience)</strong>&nbsp;</p>
<p>Take your weaving skills to the next step at&nbsp;<strong>Beyond Beginning Weaving on Saturdays, August 15, 22, and 29&nbsp;from 9 a.m. to 5 p.m. in the?Greenhouse Auditorium.&nbsp;</strong></p>
<p>This three-day&nbsp;class is designed to help weavers&nbsp;who want to&nbsp;expand their learning in the craft. Students will learn new skills in drafting&nbsp;as well as tied-weaves, double weaves, and other patterns using a 4-shaft loom. By the end of this course, students will&nbsp;have knowledge of&nbsp;additional&nbsp;weave structures and a sample book to take home.&nbsp;&nbsp;</p>
<p><strong>$290/person*. Register?here. Registration will close May 2 or when capacity is reached.</strong>?<em>All sales are final.&nbsp;</em></p>
<p>*Students should bring a 4-shaft loom if they have one. All other supplies will be provided, including a loom if needed.&nbsp;</p>
<p><em>Learn more about the space where your course will take place?here. If&nbsp;you will&nbsp;need disability-related accommodations to participate, please email Olivia at?owarren@illinois.edu.&nbsp;</em></p>
<p><em>By attending, you consent to your image being used in Allerton marketing, social media and publications. Please alert the photographer or videographer if you do not want your image&nbsp;taken.</em>&nbsp;</p>
<p><strong>About the instructor&nbsp;</strong></p>
<p>Sharon Bowles began weaving in 1990 and started teaching shortly after. She was taught to weave in a one-on-one class and wove two table runners in 12 (approximately) 2-hour lessons, and she teaches the same method when she teaches. Sharon has experience in weaving with silk, lace weaving, 8-shaft pattern weaving, parallel weaving, block weaves, and Shaker reproduction towels.&nbsp;</p>
<p>She has taught many workshops and classes to weavers&rsquo; guilds in Florida, Ohio, and Champaign-Urbana. She earned her Journeyman certification from the Weavers Guild of Boston in 2021 and a master&rsquo;s certification in April of 2022. Most recently, Sharon taught Beginning Weaving I at The Farms, and a 2-day workshop in four shaft patterns for the Champaign-Urbana Spinners and Weavers Guild.&nbsp;</p>","The Farms: An Allerton Folk School > Fiber Arts
The Farms: An Allerton Folk School > Art
Allerton Programs > Adult Programs
Skill Level > Intermediate",Greenhouse,Auditorium,5,,3,Sat,https://s3.amazonaws.com/coursestorm/live/media/f92e0a48173911f185ff0affe5650d13,No,No,Yes,No,No,,,Public,0,0
Black Walnut & Elderflower Cordials,Heidi Leuszler,$115.00 ,07/30/2026,,5:30 pm,8:00 pm,Regular Class,"<p><strong>Experience Level: Beginner&nbsp;</strong></p>
<p>Create tasty cordials to add to your favorite beverage at?<strong>Black Walnut &amp; Elderflower Cordials on Thursday, July 30 from 5:30 to 8&nbsp;p.m. in&nbsp;Evergreen Lodge.</strong>&nbsp;</p>
<p>Heidi Leuszler, the owner and head chef of?Berries and Flour?in Champaign,&nbsp;will introduce students to two plants &mdash; Elder (Sambucus Canadensis) and Black Walnut (Juglas&nbsp;Nigra). The class will discuss the natural,&nbsp;cultural,&nbsp;and culinary histories of the species, and then learn to prepare the ingredients into cordials to take home and mix with their preferred beverage to make a tasty, unique refreshment!&nbsp;</p>
<p><strong>$115/person. Register&nbsp;here. Registration will close&nbsp;July 23&nbsp;or&nbsp;when capacity is reached.&nbsp;</strong><em>All sales are final.&nbsp;&nbsp;</em></p>
<p><em>Learn more about the space where your course will take place?here.?If&nbsp;you will&nbsp;need disability-related accommodations to participate, please email?owarren@illinois.edu.&nbsp;</em></p>
<p><em>By attending, you consent to your image being used in Allerton marketing, social&nbsp;media&nbsp;and publications. Please alert the photographer or videographer if you do not want your image&nbsp;taken.&nbsp;</em></p>
<p><strong>About the instructor&nbsp;</strong></p>
<p>Heidi Leuszler grew up harvesting and foraging wherever she lived: mangos in Florida,&nbsp;morels&nbsp;and mustang grapes from the back acre in Missouri, wild strawberries and holly grapes in the Colorado mountains and chokecherries in North Dakota. Those passions remained as she added culinary skills in addition to becoming a professor of environmental science,&nbsp;ecology&nbsp;and botany at Parkland College.&nbsp;</p>
<p>She started Berries and Flour in Champaign as the&nbsp;synergy&nbsp;of several passions: culinary, ecology,&nbsp;growing of&nbsp;plants,&nbsp;foraging&nbsp;and teaching people about the plentiful Midwest land. Berries and Flour&nbsp;teaches&nbsp;how to harvest, process and consume regional foods, collaborates with others to promote food accessibility and justice, and&nbsp;produces&nbsp;value-added products from its commercial kitchen.&nbsp;</p>","Allerton Programs > Adult Programs
The Farms: An Allerton Folk School > Outdoor Education
Skill Level > Beginner
The Farms: An Allerton Folk School > Culinary",Evergreen Lodge,Room 7,15,,,,https://s3.amazonaws.com/coursestorm/live/media/ec5491381d7d11f185ff0affe5650d13,No,No,Yes,No,No,,,Public,0,0
