variable,pct_missing
student_participant_name_standard_form,100
student_school_grade_completed_in_may_2023_standard_form,100
student_media_release_waiver_standard_form,100
student_primary_phone_number_standard_form,100
registered_on_dt,100
class_clean,100
student_which_design_would_you_like_for_your_barn_quilt_barn_quilts_form,98.9
promo_code,97.5
student_i_would_like_to_borrow_a_watercolor_pallet_brushes_from_allerton_for_this_class_watercolor_class_form,97.4
source,90.5
student_do_you_give_permission_to_use_photo_images_of_your_child_for_the_purposes_of_promoting_the_university_of_illinois_programs_in_publications_and_on_the_web_youth_all_day_programs_form,88.5
student_allergies_medical_conditions_or_special_needs_if_yes_please_list_them_below_summer_day_camp_form,85.7
student_who_else_is_authorized_to_pick_up_your_child_what_is_their_relationship_to_your_child_phone_number_summer_day_camp_form,85.3
student_all_campers_using_piattran_for_transportation_including_8_11_year_olds_taking_it_to_and_from_the_pool_must_turn_in_their_piattran_rider_intake_forms_and_payment_to_piattran_one_week_prior_to_camp_staff_will_not_be_accepting_cash_or_forms_summer_day_camp_form,85.3
student_by_checking_yes_you_agree_to_sign_the_attached_participant_waiver_and_photo_release_summer_day_camp_form,85.2
student_my_camper_will_be_using_piattran_for_transport_to_and_from_camp_instead_parental_drop_off_and_pick_up_summer_day_camp_form,85.2
student_would_you_like_extended_day_care_before_or_after_camp_summer_day_camp_form,85.2
student_what_is_your_childs_t_shirt_size_summer_day_camp_form,85.2
room,79.8
student_date_of_birth_standard_form,76.4
student_additional_parent_guardian_names_standard_form,76.4
student_are_you_a_university_of_illinois_student_standard_form,74.8
student_email,43.1
fully_paid_on,13.9
fully_paid_on_dt,13.9
location,10.9
class_end_time,3.1
class_start_time,2.4
catalog,0.2
class_categories,0.2
registration_id,0
registered_on,0
student_first_name,0
student_last_name,0
student_phone,0
student_address,0
student_city,0
student_state,0
student_zip,0
student_gender_standard_form,0
student_additional_phone_number_standard_form,0
student_race_ethnicity_standard_form,0
student_are_you_of_hispanic_latinx_or_spanish_origin_standard_form,0
registered_by_customer_first_name,0
registered_by_customer_last_name,0
customer_email,0
customer_phone,0
customer_address,0
customer_city,0
customer_state,0
customer_zip,0
class,0
class_begins,0
class_price,0
add_on_total,0
discount_total,0
registration_total,0
amount_paid_to_date,0
amount_remaining,0
canceled,0
class_begins_dt,0
class_price_num,0
add_on_total_num,0
discount_total_num,0
registration_total_num,0
amount_paid_to_date_num,0
amount_remaining_num,0
