skim_type,skim_variable,n_missing,complete_rate,Date.min,Date.max,Date.median,Date.n_unique,character.min,character.max,character.empty,character.n_unique,character.whitespace,difftime.min,difftime.max,difftime.median,difftime.n_unique,logical.mean,logical.count,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
Date,registered_on_dt,6401,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Date,class_begins_dt,0,1,2023-03-12,2026-05-10,2024-07-22,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Date,fully_paid_on_dt,890,0.8609592251210748,2023-02-25,2026-01-30,2024-08-24,913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,registration_id,0,1,NA,NA,NA,NA,32,32,0,6401,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,registered_on,0,1,NA,NA,NA,NA,13,19,0,4132,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_first_name,0,1,NA,NA,NA,NA,1,14,0,1595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_last_name,1,0.9998437744102484,NA,NA,NA,NA,1,22,0,2431,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_email,2760,0.5688173722855804,NA,NA,NA,NA,13,36,0,2213,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_phone,0,1,NA,NA,NA,NA,1,11,0,2570,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_address,0,1,NA,NA,NA,NA,2,36,0,2560,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_city,0,1,NA,NA,NA,NA,2,23,0,319,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_state,0,1,NA,NA,NA,NA,2,2,0,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_zip,0,1,NA,NA,NA,NA,4,5,0,284,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_date_of_birth_standard_form,4890,0.23605686611466958,NA,NA,NA,NA,8,10,0,747,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_gender_standard_form,0,1,NA,NA,NA,NA,4,20,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_additional_parent_guardian_names_standard_form,4892,0.2357444149351664,NA,NA,NA,NA,1,145,0,607,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_additional_phone_number_standard_form,0,1,NA,NA,NA,NA,1,17,0,2990,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_race_ethnicity_standard_form,0,1,NA,NA,NA,NA,5,116,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_are_you_of_hispanic_latinx_or_spanish_origin_standard_form,0,1,NA,NA,NA,NA,2,20,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_are_you_a_university_of_illinois_student_standard_form,4787,0.25214810185908454,NA,NA,NA,NA,2,3,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_by_checking_yes_you_agree_to_sign_the_attached_participant_waiver_and_photo_release_summer_day_camp_form,5455,0.14778940790501482,NA,NA,NA,NA,3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_allergies_medical_conditions_or_special_needs_if_yes_please_list_them_below_summer_day_camp_form,5488,0.142633963443212,NA,NA,NA,NA,1,163,0,101,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,student_who_else_is_authorized_to_pick_up_your_child_what_is_their_relationship_to_your_child_phone_number_summer_day_camp_form,5457,0.14747695672551164,NA,NA,NA,NA,2,189,0,554,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
