class_join_key,n
GLOW All-Ages Scavenger Hunt,589
Owl Night,77
Foraging Hike with Naturalist-in-Residence,76
Camp Lost Garden - Summer Camp,69
GLOW Teen Scavenger Hunt,62
"Fireside Fridays: Ghosts, Ghouls, and Grandma?!? (A Dia de los Muertos Celebration)",61
Camp Lost Garden - Fall Camp,54
Holiday Wreath Making (Dec. 4),50
Holiday Wreath Making (Dec 3),49
Holiday Wreath Making (Dec. 5),44
Fireside Fridays: Stargazing and S'mores,40
Holiday Wreath Making 11/29,40
Holiday Wreath Making 12/6,40
Amazing Allerton Race: All-Ages,38
Holiday Wreath Making (Dec 4),35
(SOLD OUT) Beginning Watercolor,33
OSES: <93>Reparations: Universalism and the African American Struggle for Autonomy<94>,29
Public Mansion Tour 10/15,29
(SOLD OUT) Barn Quilt Painting,28
Public Mansion Tour 9/24,28
Family Movie Night,27
Fu Dog Painting Workshop,27
Public Mansion Tour 7/16,27
Public Mansion Tour 8/6,27
Nature Journaling Class: Exploring Our Natural World - The Art of Seeing,26
(SOLD OUT) 8/4-8/8 Day Camp for 8-11yrs: Summer Celebration,25
(SOLD OUT) Granny Squares,25
(SOLD OUT) Public Mansion Tour 3/24,25
(SOLD OUT) Public Mansion Tour 5/5,25
"Basket Weaving - ""Thankful""",25
Holiday Mansion Tour 12/6 6pm,25
Holiday Mansion Tour 12/7 6pm,25
Public Mansion Tour 11/12,25
Public Mansion Tour 4/7,25
Public Mansion Tour 6/18,25
(SOLD OUT) 7/28-8/1 Day Camp for 8-11yrs: Conservation Superheroes,24
Adventurers: Agriculture Agents 7/31-8/4,24
Holiday Mansion Tour 12/6 4pm,24
"Wines of the World (Dec 4): California: Napa, Sonoma, the beautiful wines of the West",24
"Wines of the World (Nov 20): European Gems: A Tasting Tour of Germany, Austria, and more",24
Wines of the World (Oct 16): Southern France: Exploring Rhone and the sun-kissed South of France,24
Wines of the World (Sept 25): Sparkling Wines: Effervescent Excellence - a Journey Through Sparkling Wines,24
(SOLD OUT) Cooking With Herbs,23
Acorns: Science Scouts 7/17-7/21,23
Adventurers: Science Scouts 7/17-7/21,23
CANCELLED Fireside Fridays: Fireflies and Flashlight Tag,23
(SOLD OUT) 6/23-6/27 Day Camp for 8-11yrs: Games Galore,22
"6/10-6/14, Acorns: Art Adventure",22
"6/24-6/28, Adventurers: Fort Week",22
7/21-7/25 Day Camp for 8-11yrs: Performance Arts,22
