city_state,n
"Champaign, IL",1630
"Monticello, IL",1052
"Urbana, IL",560
"Decatur, IL",358
"Mahomet, IL",334
"Savoy, IL",185
"White Heath, IL",181
"Bloomington, IL",139
"Clinton, IL",73
"Normal, IL",71
"Argenta, IL",70
"Tolono, IL",65
"Springfield, IL",64
"Mansfield, IL",60
"Ivesdale, IL",59
"Bement, IL",47
"Mattoon, IL",43
"Saint Joseph, IL",43
"Tuscola, IL",43
"Danville, IL",41
"Forsyth, IL",41
"Cerro Gordo, IL",38
"Seymour, IL",32
"Cisco, IL",29
"Chicago, IL",28
"Farmer City, IL",26
"Fisher, IL",23
"Homer, IL",23
"Oreana, IL",23
"Sullivan, IL",23
"Lincoln, IL",22
"Mt Zion, IL",21
"Rantoul, IL",21
"Effingham, IL",20
"Pesotum, IL",20
"Villa Grove, IL",20
"Atwood, IL",18
"Charleston, IL",17
"Maroa, IL",16
"Weldon, IL",16
"Deland, IL",15
"Arthur, IL",14
"Bethany, IL",14
"Dewey, IL",14
"Paxton, IL",14
"Le Roy, IL",13
"Peoria, IL",13
"Philo, IL",13
"Shelbyville, IL",13
"Sidney, IL",13
